freq,statinfo,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,SE	: 	15138 	16194 	16954 	17543 	17124 b	17026 	16100 	17943 	20010 	20854 	22471 	21252 	20774 	21131 	21504 	19678 	20587 	20886 	21932 	22058 	23138 	24010 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,SI	: 	: 	7443 	7887 	8222 	8956 	9842 	9400 	9633 	9740 	9255 	9585 	9784 	9741 	10198 	10568 	11293 	11793 	12355 	13231 	13972 	15307 	15974 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,SK	: 	: 	2487 	2860 	3330 	4013 	4885 	5181 	5549 	5811 	5955 	5974 	5899 	5980 	5986 	6264 	6529 	6991 	6958 	7356 	7772 	8589 	11147 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,TR	: 	: 	: 	3167 	3508 	3830 	3950 	3535 	4290 	4072 	4335 	3971 	3878 	4244 	4398 	4012 	3438 	3533 	3107 	3237 	3351 	4438 	6407 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,UK	: 	: 	15774 	16415 	17341 	15614 	14056 	14834 	14518 	16704 b	16165 	18984 	19842 	19448 	17997 b	18867 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE18,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2311 	: 	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1875 	2042 	2332 	2558 	2562 	2949 	3582 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,AT	13802 	15334 	17458 	15592 	15919 	15769 b	16931 	16828 	17864 	18451 	18685 	19817 	20072 	20521 	21342 	21704 	22674 	23237 	23818 	24500 	25511 	27513 	30844 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,BE	12657 	12868 	13363 	13199 	13898 	13941 	14945 	15621 	15526 	15424 	16331 	16858 	16705 	17235 	17471 	18051 	19114 b	19104 	20060 	20144 	21926 	23527 	24656 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,BG	: 	: 	: 	1222 	1252 	1724 	2028 	2249 	2232 	2181 	2295 	2746 	2401 	2413 b	2558 	2606 	3002 	3107 	3888 	3800 	5014 	5932 	6865 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,CH	: 	: 	: 	: 	21702 	20912 	19573 	22911 	24652 	27902 	29163 	28216 b	29460 	32623 	32442 	30889 	27045 	29958 	33449 	30752 	35086 	37149 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,CY	: 	: 	8974 	10161 	10973 	11399 b	12003 	11834 	12441 	12734 	13371 	11903 	11628 	11713 	11897 	12642 	12678 	13304 	13275 	14000 	14532 	14840 	15519 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,CZ	: 	: 	3759 	4228 	4803 	5172 	6088 	5953 	6290 	6640 	6494 	6245 	5989 	6315 	6495 	6917 	7503 	8137 	8498 	8978 	10332 	12025 	11883 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,DE	: 	: 	16587 	14713 	15398 	16316 	16830 	17063 	17573 	17438 	17527 	17011 	17489 	17885 	18476 	19177 	19960 	22507 b	20787 	20753 	21892 	22627 	23584 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,DK	16523 	15945 	16165 	16494 	17055 	17758 	17954 	18353 	20328 b	21864 	20615 	22123 	22949 	22593 	22890 	23429 	23368 	23754 	25313 	27530 	38494 	28749 	29877 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EA	: 	: 	: 	: 	: 	15499 e	15960 e	16332 e	16137 e	16382 e	16484 e	15865 e	15814 e	16125 e	16408 e	16726 e	16965 	17706 b	17529 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EA18	: 	: 	13443 	13150 	13736 	15262 	15861 	16230 	16072 	16318 	16422 	15865 	15895 	16197 	16482 	16796 	17033 	17763 b	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EA19	: 	: 	13335 	13051 	13623 	15148 	15739 	16104 	15939 	16192 	16305 	15775 	15814 	16125 	16408 	16726 	16965 	17706 b	17529 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15707 	15650 	15964 	16254 	16573 	16821 	17567 	17417 	17607 	18776 	19635 	20793 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20627 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EE	: 	2096 	2351 	2702 	3151 	3658 	4366 	4539 	4450 	4578 	4947 	5303 b	5517 	5859 	6239 	6705 	7282 	8034 	8295 	9067 	10009 	11012 	12117 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EL	7353 	7725 	8350 	8717 	9271 	9951 	10552 	10697 	9616 	9130 	8373 	7484 	7495 	7472 	7508 	7658 	7875 	8357 	8110 	8624 	8729 	9201 	9601 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,ES	: 	8940 	9264 	9857 	10577 	13455 b	14531 	14791 	14207 	14406 	14481 	13895 	13634 	13850 	13908 	14005 	14815 	15483 	15329 	15930 	17206 	18627 	19768 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EU	: 	: 	: 	: 	: 	13215 e	13585 e	13784 e	13938 e	14276 e	14295 e	14485 e	14539 e	14783 e	14683 e	15190 e	15446 e	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EU27_2007	: 	: 	11599 e	11625 e	12022 	13215 	13585 	13872 	14047 	14376 	14394 	14584 	14644 	14886 	14788 	15293 	15545 e	: 	: 	: 	: 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	13771 e	13895 e	14007 e	14131 e	13887 e	13910 e	14204 e	14531 e	14900 e	15188 	15936 	15942 	16278 	17478 	18365 	19485 
A,MEAN_EI,EUR,ED0-2,F,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	13784 	13938 	14276 	14295 	14485 	14539 	14783 	14683 	15190 	15446 e	: 	: 	: 	: 	: 	: 
