freq,statinfo,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,MED_EI,EUR,ED3_4,T,Y18-64,CZ	: 	: 	4559 	5127 	5854 	6438 	7802 	7490 	7829 	8100 	8009 	7896 	7759 	8321 	8767 	9628 	10568 	11276 	11163 	12922 	14450 	16033 	15921 
A,MED_EI,EUR,ED3_4,T,Y18-64,DE	: 	: 	17293 	17370 	18059 	18639 	18952 	19228 	19500 	19962 	19746 	19928 	20851 	21222 	21655 	22105 	23699 	26774 b	25804 	25874 	27197 	28747 	30000 
A,MED_EI,EUR,ED3_4,T,Y18-64,DK	22283 	22632 	23616 	24314 	25175 	25663 	26360 	27307 	27815 b	28385 	28297 	28459 	29255 	29489 	30223 	31092 	31057 	31900 	33466 	34546 	34364 	35209 	36167 
A,MED_EI,EUR,ED3_4,T,Y18-64,EA	: 	: 	: 	: 	: 	18202 e	18259 e	18436 e	18228 e	18393 e	18191 e	18161 e	18350 e	18860 e	19241 e	19598 e	20257 	21583 b	21381 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,EA18	: 	: 	15728 	15941 	16494 	17638 	18095 	18259 	18120 	18286 	18093 	18161 	18498 	19008 	19383 	19728 	20387 	21717 b	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,EA19	: 	: 	15528 	15750 	16310 	17459 	17928 	18086 	17955 	18129 	17947 	18007 	18350 	18860 	19241 	19598 	20257 	21583 b	21381 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17928 	18129 	18636 	19021 	19380 	20044 	21355 	21099 	21677 	22944 	24118 	25481 
A,MED_EI,EUR,ED3_4,T,Y18-64,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25126 
A,MED_EI,EUR,ED3_4,T,Y18-64,EE	: 	2692 	3136 	3874 	4714 	5752 	6340 	5680 	5611 	5969 	6665 	7262 b	8119 	8828 	9403 	10572 	11546 	12334 	12572 	15057 	15070 	15835 	16588 
A,MED_EI,EUR,ED3_4,T,Y18-64,EL	9241 	9905 	10212 	10478 	10804 	11500 	11800 	12167 	11019 	8799 	7979 	7312 	7300 	7214 	7325 	7660 	8061 	8585 	8620 	9325 	9843 	10722 	11948 
A,MED_EI,EUR,ED3_4,T,Y18-64,ES	: 	11435 	11976 	12611 	13110 	15583 b	16109 	15795 	15122 	14473 	14157 	13741 	13748 	14166 	14532 	14882 	14975 	15824 	15518 	16320 	17637 	18796 	19639 
A,MED_EI,EUR,ED3_4,T,Y18-64,EU	: 	: 	: 	: 	: 	14616 e	14871 e	14825 e	14955 e	15367 e	15267 e	15368 e	15859 e	16347 e	16252 e	16863 e	17455 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,EU27_2007	: 	: 	12856 e	13333 e	14226 	14616 	14871 	14926 	15061 	15481 	15382 	15488 	15979 	16469 	16373 	16982 	17573 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14478 e	14649 e	14869 e	14806 e	14842 e	15354 e	15832 e	16096 e	16563 e	17203 	18249 	18158 	18873 	20186 	21406 	22720 
A,MED_EI,EUR,ED3_4,T,Y18-64,EU28	: 	: 	: 	: 	: 	: 	: 	14825 	14955 	15366 	15267 	15368 	15859 	16347 	16252 	16863 	17455 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,FI	: 	16794 	17436 	18297 	18770 	20004 	21262 	21261 	21630 	22269 	22946 	23296 	23325 	23166 	23895 	24499 	24941 	25293 	25362 	26320 	27277 	28478 	29672 
A,MED_EI,EUR,ED3_4,T,Y18-64,FR	: 	15714 	16611 	16632 	16771 	19218 	19878 	20151 	19735 b	20146 	20384 	20359 	20455 	21021 	21374 	21513 	21693 	21512 b	21948 	22453 b	23411 	24735 	25425 
A,MED_EI,EUR,ED3_4,T,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	6365 	5844 	5593 	5403 	5579 	5840 	6051 	6471 	6930 	7451 	8045 	8403 	9246 	10338 b	12877 b	15615 
A,MED_EI,EUR,ED3_4,T,Y18-64,HU	: 	: 	3587 	4075 	4075 	4506 	4853 	4345 	4636 	4825 	4481 	4504 	4526 	4795 	5178 	5570 	5887 b	6126 	6762 	7339 	7382 	8589 	8831 
A,MED_EI,EUR,ED3_4,T,Y18-64,IE	19626 	19984 	20756 	22276 	24240 	24157 	23769 	21041 	19483 	19591 	18960 	18997 	20285 	21406 	22139 	24367 	24442 b	25516 b	27910 	29891 	29928 	31954 	34481 
A,MED_EI,EUR,ED3_4,T,Y18-64,IS	: 	23511 	24728 	29790 	30260 	33348 	22630 	18675 	19385 	20188 	22388 	23339 	25604 	29296 	35087 	41479 	38869 	36632 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,IT	: 	15908 	16621 	16733 	17385 	17926 	18041 	18236 	17812 	17803 	17009 	16928 	17005 	17894 	18119 	18243 	18227 	19102 	18317 	19509 	21286 	21514 	23196 
A,MED_EI,EUR,ED3_4,T,Y18-64,LT	: 	: 	2052 	2563 	3340 	4171 	4771 	3876 	3629 	4291 	4626 	4738 	5137 	5572 	6002 	6809 	7446 	8301 	9287 	9761 	10669 	11594 p	12737 p
A,MED_EI,EUR,ED3_4,T,Y18-64,LU	27090 	28343 	30215 	30897 	31057 	31674 	32765 	34092 	33446 	34237 	35663 	35372 	36429 	34281 b	37125 	34957 	35405 	36354 b	40383 b	41936 b	45083 	46313 	48836 b
A,MED_EI,EUR,ED3_4,T,Y18-64,LV	: 	: 	2206 	2708 	3626 	5129 	5748 	4618 	4224 	4493 	4760 	5406 	5946 	6427 	6706 	7336 	8017 	8633 	9184 	9992 	10835 	12420 	13521 
A,MED_EI,EUR,ED3_4,T,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3084 	3079 	3106 	3200 	3509 	3826 	3882 	3955 	3840 	4341 	5660 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2009 	2115 	2113 	2273 	2453 	2703 	2848 	2971 	3278 	3489 b	3855 	4233 	5284 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,MT	: 	: 	11279 	11577 	11535 	12662 	13507 	12699 	13264 	13565 	14480 	15242 	15850 	15637 	16612 	16811 	17517 	18281 	19685 	20523 	21802 	22904 	23902 
A,MED_EI,EUR,ED3_4,T,Y18-64,NL	: 	: 	17769 	17943 	18849 	19974 	20671 	20742 	20341 	20660 	20580 	20629 	21099 	22716 b	23463 	23766 	24296 	26071 	28756 	29517 	29581 	32462 	34953 
A,MED_EI,EUR,ED3_4,T,Y18-64,NO	28377 	27140 	26417 	30596 	30633 	33290 	35540 	34097 	38102 	41135 	44868 	44720 	43173 	41164 	40496 	41042 	41226 	42047 	37262 b	41134 	43053 b	41359 	43118 
A,MED_EI,EUR,ED3_4,T,Y18-64,PL	: 	: 	2526 	3065 	3459 	4151 	5070 	4372 	4951 	4956 	5042 	5128 	5330 	5572 	5721 	6321 	6861 	7629 	7900 	8611 	9756 	11490 	13703 
A,MED_EI,EUR,ED3_4,T,Y18-64,PT	: 	9729 	10046 	10043 	10698 	10343 	10451 	10765 	10251 	9865 	9580 	9444 	9626 	9916 	9746 	9983 	10594 	11365 	11253 	11123 	12056 	13265 	14548 
A,MED_EI,EUR,ED3_4,T,Y18-64,RO	: 	: 	: 	: 	1863 	2247 	2490 	2283 	2293 	2230 	2195 	2305 	2445 	2647 	2935 	3620 	4165 	4663 	5188 	5670 	6808 	8241 	8599 
A,MED_EI,EUR,ED3_4,T,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2436 	2457 	2353 	2403 	2534 	2736 	3247 	3700 	4033 	4497 	5050 	6141 	8094 
A,MED_EI,EUR,ED3_4,T,Y18-64,SE	: 	18182 	18384 	18831 	19944 	21463 b	21684 	20043 	22960 	25429 	26830 	27629 	27353 	27704 	27929 	27934 	27107 	27491 	27942 	29370 	29555 	28715 	30792 
A,MED_EI,EUR,ED3_4,T,Y18-64,SI	: 	: 	9305 	9820 	10119 	11070 	12123 	11817 	12083 	12035 	11700 	11558 	11986 	12025 	12427 	12939 	13908 	14720 	15140 	16287 	17970 	19532 	20700 
A,MED_EI,EUR,ED3_4,T,Y18-64,SK	: 	: 	2982 	3455 	4178 	5021 	5858 	6374 	6514 	7189 	6974 	7038 	7196 	7231 	7455 	7999 	8640 	9235 	8947 	9171 	9548 	9943 	13133 
A,MED_EI,EUR,ED3_4,T,Y18-64,TR	: 	: 	: 	3472 	3698 	4169 	4276 	3888 	4538 	4367 	4505 	4543 	4344 	4650 	4786 	4236 	3586 	3680 	3152 	3216 	3415 	4658 	6964 
A,MED_EI,EUR,ED3_4,T,Y18-64,UK	: 	: 	20375 	21161 	22873 	19796 	16945 	17774 	17377 	19270 b	19008 	21227 	21350 	21557 	20507 b	21120 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y18-64,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2110 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2023 	2243 	2527 	2814 	2845 	3397 	4055 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,AT	16701 	18028 	18840 	18961 	19271 	20383 b	21481 	22449 	22912 	23240 	23499 	24055 	24123 	24352 	25549 	26063 	26500 	27089 	27796 	28352 	32170 	33571 	36822 
A,MED_EI,EUR,ED3_4,T,Y_GE18,BE	16000 	16109 	16800 	17373 	17742 	18326 	19753 	19725 	20041 	20369 	21815 	21485 	21289 	21828 	21707 	23163 	24013 b	24624 	24681 	25969 	27390 	28729 	30116 
A,MED_EI,EUR,ED3_4,T,Y_GE18,BG	: 	: 	: 	1528 	1644 	2515 	3104 	3265 	3217 	3038 	3162 	3557 	3602 	3324 b	3813 	3772 	4473 	4800 	5210 	5490 	6657 	7913 	8951 
A,MED_EI,EUR,ED3_4,T,Y_GE18,CH	: 	: 	: 	: 	29509 	27506 	29495 	31026 	33749 	39099 	40290 	38453 b	39552 	44065 	42737 	41981 	40749 	41485 	42204 	43270 	47046 	49589 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,CY	: 	: 	13861 	15057 	16599 	16777 b	16863 	16334 	17078 	16949 	15597 	14208 	13447 	13631 	14056 	15029 	16323 	16458 	16593 	17662 	18544 	19363 	20937 
A,MED_EI,EUR,ED3_4,T,Y_GE18,CZ	: 	: 	4361 	4902 	5547 	6169 	7408 	7120 	7493 	7772 	7647 	7540 	7343 	7738 	8173 	8861 	9742 	10394 	10342 	11829 	13324 	14792 	14827 
A,MED_EI,EUR,ED3_4,T,Y_GE18,DE	: 	: 	17001 	16867 	17485 	18014 	18331 	18616 	18913 	19285 	19187 	19261 	20007 	20321 	20745 	21220 	22389 	25211 b	24553 	24559 	25680 	27013 	28142 
A,MED_EI,EUR,ED3_4,T,Y_GE18,DK	21810 	21932 	22896 	23526 	24217 	24666 	25494 	25890 	26448 b	26769 	26638 	27036 	27499 	27257 	28385 	29325 	28872 	29719 	30854 	31520 	31758 	32489 	33555 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EA	: 	: 	: 	: 	: 	18039 e	18126 e	18333 e	18208 e	18392 e	18274 e	18231 e	18400 e	18837 e	19198 e	19550 e	20108 	21370 b	21262 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EA18	: 	: 	15707 	15825 	16366 	17477 	17956 	18151 	18097 	18282 	18171 	18231 	18554 	18992 	19349 	19692 	20247 	21516 b	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EA19	: 	: 	15517 	15642 	16190 	17306 	17796 	17986 	17938 	18129 	18026 	18074 	18400 	18837 	19198 	19550 	20108 	21370 b	21262 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18009 	18189 	18623 	18985 	19339 	19904 	21146 	20990 	21460 	22628 	23814 	25131 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24742 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EE	: 	2582 	2983 	3684 	4409 	5396 	5979 	5386 	5239 	5564 	6194 	6719 b	7487 	8149 	8612 	9705 	10609 	11441 	11552 	13067 	13394 	14102 	14962 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EL	9333 	10020 	10381 	10600 	10947 	11600 	11917 	12293 	11070 	9210 	8355 	7680 	7543 	7529 	7610 	7920 	8266 	8913 	8939 	9623 	10160 	10900 	12017 
A,MED_EI,EUR,ED3_4,T,Y_GE18,ES	: 	11487 	11976 	12579 	13154 	15633 b	16198 	15886 	15274 	14764 	14584 	14135 	14098 	14455 	14854 	15117 	15311 	16104 	16067 	16886 	18289 	19427 	20357 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EU	: 	: 	: 	: 	: 	14527 e	14801 e	14759 e	14951 e	15383 e	15330 e	15430 e	15878 e	16276 e	16158 e	16731 e	17221 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EU27_2007	: 	: 	12870 e	13275 e	14127 	14527 	14801 	14858 	15055 	15495 	15443 	15545 	15994 	16393 	16274 	16845 	17334 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14476 e	14692 e	14914 e	14910 e	14950 e	15412 e	15791 e	16013 e	16444 e	16980 	17940 	17918 	18540 	19727 	20945 	22232 
A,MED_EI,EUR,ED3_4,T,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	14759 	14951 	15383 	15330 	15430 	15878 	16276 	16158 	16731 	17221 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,FI	: 	16479 	17135 	17899 	18235 	19408 	20626 	20804 	21164 	21784 	22397 	22476 	22577 	22423 	23238 	23679 	23860 	24191 	24506 	24945 	26007 	27265 	28176 
A,MED_EI,EUR,ED3_4,T,Y_GE18,FR	: 	15950 	16737 	16711 	16894 	19408 	20139 	20427 	20101 b	20525 	20821 	20940 	21017 	21517 	21893 	22088 	22259 	21973 b	22186 	22564 b	23471 	24873 	25707 
A,MED_EI,EUR,ED3_4,T,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	6227 	5814 	5574 	5418 	5574 	5832 	5992 	6356 	6763 	7249 	7744 	8003 	8723 	9689 b	12121 b	14683 
A,MED_EI,EUR,ED3_4,T,Y_GE18,HU	: 	: 	3622 	4078 	4083 	4545 	4890 	4383 	4655 	4832 	4548 	4596 	4594 	4876 	5178 	5541 	5865 b	6039 	6586 	7204 	7284 	8259 	8627 
A,MED_EI,EUR,ED3_4,T,Y_GE18,IE	19278 	19866 	20606 	22105 	24148 	24157 	23769 	21160 	19483 	19782 	19139 	19263 	20488 	21549 	22308 	24586 	24822 b	25516 b	27853 	29564 	29903 	31630 	34227 
A,MED_EI,EUR,ED3_4,T,Y_GE18,IS	: 	22765 	23990 	28621 	29062 	32429 	22511 	18528 	19112 	19788 	21807 	23058 	25148 	28926 	34326 	40993 	37757 	36298 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,IT	: 	16028 	16703 	16866 	17485 	18096 	18238 	18442 	18115 	18136 	17314 	17343 	17476 	18363 	18558 	18669 	18687 	19644 	19089 	20120 	21724 	22246 	23959 
A,MED_EI,EUR,ED3_4,T,Y_GE18,LT	: 	: 	2042 	2498 	3253 	4109 	4690 	3897 	3668 	4236 	4514 	4564 	4813 	5256 	5653 	6225 	6958 	7743 	8440 	8783 	9663 	10396 p	11371 p
A,MED_EI,EUR,ED3_4,T,Y_GE18,LU	26832 	28326 	29911 	30875 	31059 	31691 	32785 	34150 	34226 	34849 	35891 	36339 	36871 	35041 b	37522 	35867 	37259 	37889 b	41747 b	43329 b	46890 	48455 	50370 b
A,MED_EI,EUR,ED3_4,T,Y_GE18,LV	: 	: 	2134 	2590 	3474 	4846 	5422 	4452 	4134 	4344 	4568 	5125 	5538 	5963 	6199 	6683 	7382 	7904 	8298 	9196 	9758 	11191 	11970 
A,MED_EI,EUR,ED3_4,T,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3185 	3135 	3188 	3272 	3597 	3870 	3969 	4063 	3933 	4388 	5700 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2037 	2155 	2200 	2349 	2522 	2761 	2914 	3039 	3354 	3550 b	3874 	4262 	5182 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,MT	: 	: 	11240 	11360 	11327 	12445 	13168 	12579 	13146 	13525 	14444 	15205 	15807 	15550 	16407 	16569 	17280 	17998 	19143 	19861 	20992 	22181 	23244 
A,MED_EI,EUR,ED3_4,T,Y_GE18,NL	: 	: 	17732 	17811 	18701 	19843 	20480 	20604 	20167 	20551 	20561 	20364 	20873 	22176 b	22737 	22974 	23523 	25153 	27501 	28072 	28143 	31006 	32865 
A,MED_EI,EUR,ED3_4,T,Y_GE18,NO	27493 	26383 	25758 	29007 	29511 	32161 	34277 	32956 	36899 	40267 	43815 	43423 	41812 	39613 	38698 	39363 	39124 	39788 	35484 b	38639 	41029 b	39739 	41449 
A,MED_EI,EUR,ED3_4,T,Y_GE18,PL	: 	: 	2586 	3136 	3537 	4195 	5100 	4393 	4990 	4992 	5121 	5221 	5437 	5663 	5741 	6297 	6780 	7484 	7770 	8448 	9453 	11224 	13365 
A,MED_EI,EUR,ED3_4,T,Y_GE18,PT	: 	9772 	10089 	10220 	10939 	10420 	10664 	11074 	10416 	9956 	9745 	9657 	9788 	10081 	10000 	10141 	10763 	11675 	11465 	11400 	12337 	13486 	14786 
A,MED_EI,EUR,ED3_4,T,Y_GE18,RO	: 	: 	: 	: 	1865 	2267 	2526 	2331 	2379 	2309 	2267 	2399 	2506 	2727 	3026 	3644 	4139 	4589 	5050 	5730 	6816 	8060 	8519 
A,MED_EI,EUR,ED3_4,T,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2518 	2534 	2466 	2507 	2633 	2819 	3291 	3701 	4022 	4422 	4949 	6055 	7789 
A,MED_EI,EUR,ED3_4,T,Y_GE18,SE	: 	17889 	18071 	18702 	19666 	20807 b	21052 	19431 	22237 	24421 	25814 	26822 	26068 	26343 	26802 	26648 	26120 	26087 	26848 	27752 	28145 	27485 	29491 
A,MED_EI,EUR,ED3_4,T,Y_GE18,SI	: 	: 	9270 	9721 	9991 	10892 	11919 	11665 	11955 	11855 	11561 	11496 	11871 	11851 	12235 	12627 	13432 	14093 	14611 	15596 	17184 	18547 	19325 
A,MED_EI,EUR,ED3_4,T,Y_GE18,SK	: 	: 	2921 	3377 	4033 	4850 	5654 	6187 	6335 	6967 	6811 	6887 	7055 	7095 	7306 	7793 	8338 	8883 	8687 	8987 	9492 	10168 	12991 
A,MED_EI,EUR,ED3_4,T,Y_GE18,TR	: 	: 	: 	3505 	3741 	4200 	4321 	3930 	4577 	4393 	4543 	4574 	4391 	4699 	4825 	4281 	3622 	3743 	3210 	3260 	3438 	4673 	6991 
A,MED_EI,EUR,ED3_4,T,Y_GE18,UK	: 	: 	19681 	20601 	22221 	19249 	16557 	17177 	17013 	19191 b	18852 	21073 	21212 	21525 	20293 b	20964 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE18,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2120 	: 	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2132 	2206 	2495 	2774 	2901 	3398 	3754 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,AT	16573 	17417 	18610 	18481 	18704 	18978 b	19552 	21388 	22084 	22442 	22986 	23294 	23754 	23770 	24728 	25064 	25638 	26172 	26807 	26699 	28958 	31033 	34239 
A,MED_EI,EUR,ED3_4,T,Y_GE65,BE	12703 	12740 	13504 	13474 	14184 	15192 	16936 	16456 	16207 	16977 	18847 	18486 	18824 	18547 	19200 	18970 	20078 b	20214 	20561 	20865 	22557 	24454 	25999 
A,MED_EI,EUR,ED3_4,T,Y_GE65,BG	: 	: 	: 	1224 	1231 	1775 	2113 	2625 	2490 	2427 	2577 	3071 	2820 	2790 b	2904 	3035 	3160 	3341 	3884 	4027 	5232 	6423 	7296 
A,MED_EI,EUR,ED3_4,T,Y_GE65,CH	: 	: 	: 	: 	26196 	24552 	24475 	26803 	28244 	32441 	33919 	32808 b	34562 	38097 	37602 	36824 	33496 	35428 	35849 	37277 	40662 	41851 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,CY	: 	: 	12897 	14061 	15228 	15538 b	15623 	16481 	17145 	17657 	16851 	15865 	16473 	16252 	16619 	17338 	17770 	17685 	16988 	17882 	18423 	19197 	20229 
A,MED_EI,EUR,ED3_4,T,Y_GE65,CZ	: 	: 	3681 	4104 	4607 	4983 	5976 	6015 	6360 	6769 	6791 	6693 	6334 	6554 	6725 	7177 	7747 	8338 	8902 	9455 	10987 	12990 	12925 
A,MED_EI,EUR,ED3_4,T,Y_GE65,DE	: 	: 	15828 	15206 	15525 	16102 	16259 	16874 	17155 	17336 	17368 	17472 	17899 	17923 	18450 	18852 	19515 	21727 b	21429 	21288 	22000 	23197 	24000 
A,MED_EI,EUR,ED3_4,T,Y_GE65,DK	17100 	17601 	17850 	17926 	18225 	18742 	19672 	20291 	21604 b	21885 	21923 	22863 	22732 	22575 	23590 	24239 	24513 	24856 	25771 	26220 	26681 	27748 	28553 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EA	: 	: 	: 	: 	: 	17596 e	17702 e	18304 e	18520 e	18846 e	19170 e	18976 e	19056 e	19215 e	19461 e	19641 e	20123 	21173 b	21109 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EA18	: 	: 	15716 	15411 	15803 	17029 	17490 	18092 	18389 	18711 	19036 	18976 	19234 	19405 	19653 	19833 	20303 	21372 b	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EA19	: 	: 	15598 	15284 	15676 	16895 	17363 	17963 	18262 	18578 	18893 	18804 	19056 	19215 	19461 	19641 	20123 	21173 b	21109 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18803 	18887 	19038 	19274 	19458 	19942 	20971 	20882 	20937 	21878 	23219 	24539 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EA21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24030 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EE	: 	2092 	2369 	2749 	3175 	3741 	4424 	4576 	4549 	4606 	4808 	5105 b	5436 	5743 	6096 	6508 	7326 	7797 	8082 	8409 	9120 	10388 	11428 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EL	11188 	12420 	11692 	12227 	13353 	13349 	13367 	13767 	11750 	11528 	9767 	9360 	9667 	9653 	9750 	9214 	9720 	10639 	10600 	11040 	11571 	11976 	12427 
A,MED_EI,EUR,ED3_4,T,Y_GE65,ES	: 	12508 	11941 	11701 	13471 	16401 b	18101 	17826 	18220 	18371 	17583 	17727 	17398 	17587 	18062 	18460 	19185 	19494 	20159 	20355 	22277 	23889 	24778 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EU	: 	: 	: 	: 	: 	14402 e	14658 e	14934 e	15258 e	15818 e	16034 e	16078 e	16336 e	16316 e	16081 e	16437 e	16744 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EU27_2007	: 	: 	13182 e	13183 e	13732 	14402 	14658 	15029 	15346 	15916 	16135 	16173 	16430 	16412 	16180 	16531 	16845 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14940 e	15277 e	15552 e	15880 e	15835 e	16057 e	16021 e	15997 e	16212 e	16573 	17277 	17332 	17668 	18494 	19896 	21157 
A,MED_EI,EUR,ED3_4,T,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	14934 	15258 	15818 	16034 	16078 	16336 	16316 	16081 	16437 	16744 e	: 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,FI	: 	13327 	13904 	14358 	15070 	15330 	16375 	18207 	18331 	19280 	19158 	19739 	19801 	20131 	20733 	20867 	20824 	21107 	21241 	21986 	22623 	24393 	25501 
A,MED_EI,EUR,ED3_4,T,Y_GE65,FR	: 	18062 	18344 	18107 	18858 	22405 	22982 	23955 	23485 b	23949 	24947 	24082 	23768 	24561 	24514 	24255 	24085 	23265 b	22759 	22903 b	23739 	25212 	26598 
A,MED_EI,EUR,ED3_4,T,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	5268 	5707 	5495 	5453 	5532 	5813 	5780 	5742 	6132 	6052 	6530 	6583 	6990 	7634 b	9331 b	10824 
A,MED_EI,EUR,ED3_4,T,Y_GE65,HU	: 	: 	3976 	4104 	4119 	4755 	5047 	4567 	4724 	4867 	4916 	4924 	4924 	5005 	5158 	5471 	5808 b	5846 	5967 	6666 	6762 	7767 	7369 
A,MED_EI,EUR,ED3_4,T,Y_GE65,IE	14441 	15681 	17275 	17705 	20765 	23500 	22884 	24029 	19212 	20938 	21479 	22427 	24036 	23439 	23117 	25719 	27123 b	25564 b	27628 	26517 	29722 	29712 	32740 
A,MED_EI,EUR,ED3_4,T,Y_GE65,IS	: 	19097 	19552 	23677 	23847 	28300 	21308 	17975 	17900 	18127 	19340 	21212 	23384 	27370 	32258 	38743 	36120 	35231 	: 	: 	: 	: 	: 
A,MED_EI,EUR,ED3_4,T,Y_GE65,IT	: 	17097 	17931 	18838 	18835 	19785 	20440 	20589 	21146 	21002 	20943 	20931 	21199 	21737 	21541 	21600 	22043 	23722 	23604 	23584 	24260 	25318 	27473 
A,MED_EI,EUR,ED3_4,T,Y_GE65,LT	: 	: 	1969 	2155 	2607 	3566 	4136 	4135 	3829 	3867 	4181 	4068 	4025 	4239 	4550 	4760 	5393 	5985 	6501 	6670 	7539 	8127 p	8885 p
A,MED_EI,EUR,ED3_4,T,Y_GE65,LU	25304 	27915 	29131 	28801 	31543 	31848 	33637 	34239 	37279 	37998 	38321 	40857 	38759 	39365 b	41364 	41545 	45463 	47397 b	50641 b	50160 b	53356 	56993 	54705 b
